BULAN,TAHUN,DISTRIBUTOR,KOTA,PRINSIPAL,PRODUK,BRAND,JENIS,UKURAN,QTY
Juli,2025,MILDOS LAMPUNG,Lampung,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,30
Juli,2025,UNICRON VAPE,Makasar,,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,20
Juli,2025,OVS MANADO,Manado,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Juli,2025,Vapor Mania,Medan,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,30
Juli,2025,PKU ,Pekanbaru,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Juli,2025,VSP,Semarang,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,100
Juli,2025,VAPE ON,Surabaya,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,500
Juli,2025,VB DISTRI,Tangerang,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,35
Agustus,2025,VAPEX,Bali,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,30
Agustus,2025,VAPEBRAND,Bali,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,150
Agustus,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,200
Agustus,2025,SEGITIGA MAS,Bogor,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,40
Agustus,2025,DALANG VAPOR,Depok,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,30
Agustus,2025,PREVA/TOKO VAPEKU,Jakarta,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,10
Agustus,2025,MILDOS JAKARTA,Jakarta,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Agustus,2025,RAYS,Jakarta,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Agustus,2025,PING DISTRI,Karawang,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Agustus,2025,Vapor Mania,Medan,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,60
Agustus,2025,PKU ,Pekanbaru,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,20
September,2025,JESMAR BALI,Bali,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,25
September,2025,BED,Bandung,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,25
September,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,400
September,2025,SARANG VAPERS,Jakarta,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,20
September,2025,VAPORIZER JAKARTA,Jakarta,FVS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,30
September,2025,S3VAPE,Salatiga,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,25
September,2025,DATU VAPOR SAMPIT,Sampit,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,20
September,2025,ANGKASA VAPOR,Sampit,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,30
Oktober,2025,VAPEBRAND,Bali,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,100
Oktober,2025,BED,Bandung,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,25
Oktober,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,100
Oktober,2025,VAPEXPRESS,Bogor,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Oktober,2025,BLACKJACK,Bogor,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Oktober,2025,SEGITIGA MAS,Bogor,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Oktober,2025,OVS MAKASSAR,Makasar,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Oktober,2025,Vapor Mania,Medan,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,20
Oktober,2025,PKU ,Pekanbaru,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,40
Oktober,2025,VAPE ON,Surabaya,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,300
Oktober,2025,VB DISTRI,Tangerang,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,100
November,2025,MAGIC,Bali,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
November,2025,BED,Bandung,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
November,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,100
November,2025,BLACKJACK,Bogor,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,15
November,2025,SENTRAL,Cimahi,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
November,2025,GAS DISTRI,Jakarta,FVS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,45
November,2025,MILDOS LAMPUNG,Lampung,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,30
November,2025,LOMBOK VAPE,Lombok,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
November,2025,OVS MAKASSAR,Makasar,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
November,2025,Vapor Mania,Medan,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,20
November,2025,PKU ,Pekanbaru,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,20
November,2025,DP88,Pontianak,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
November,2025,OMAH,Solo,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,30
November,2025,VAPE ON,Surabaya,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,150
Desember,2025,MAGIC,BALI,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,20
Desember,2025,PT.ACIMA GLOBAL MANDIRI,TANGERANG,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,20
Desember,2025,ANGKASA VAPOR,SAMPIT,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Desember,2025,DP88,PONTIANAK,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Desember,2025,SENTRAL,CIMAHI,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,19
Desember,2025,FVS,BANDUNG,FVS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,250
Desember,2025,VM MEDAN ,MEDAN,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,20
Desember,2025,PKU ,PEKANBARU,RAYS,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,10
Desember,2025,VAPEBRAND,BALI,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,50
Desember,2025,S3VAPE,SALATIGA,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,25
Desember,2025,BLACKJACK,BOGOR,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,15
Desember,2025,21 VAPE MALAY,MALAYSIA,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,3
Juli,2025,VAPE FEST,BANDUNG,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,12
Agustus,2025,VAPE FAIR,JAKARTA,PODA,PEANUT BUTTER V2 6MG,ORAMA,FREEBASE,60ML,2
Februari,2025,MAGIC,Bali,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2025,VAPEX,Bali,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2025,VAPEBRAND,Bali,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Februari,2025,BED,Bandung,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Februari,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,3400
Februari,2025,EJ33 BANJARMASIN,Banjarmasin,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,35
Februari,2025,BLACKJACK,Bogor,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2025,SENTRAL,Cimahi,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
Februari,2025,JVS,Jakarta,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,191
Februari,2025,VAPORIZER JAKARTA,Jakarta,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2025,PING DISTRI,Karawang,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2025,OVS MAKASSAR,Makasar,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Februari,2025,OVS MANADO,Manado,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2025,PKU ,Pekanbaru,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Februari,2025,S3VAPE,Salatiga,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Februari,2025,EJ33 SAMARINDA,Samarinda,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Februari,2025,ABIVAPE,Semarang,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,120
Februari,2025,LIBERTY,Semarang,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Februari,2025,VSP,Semarang,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Februari,2025,VAPEBOSS SBY,Surabaya,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Februari,2025,VAPE ON,Surabaya,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,2000
Februari,2025,PT.LIMA BINTANG BERSATU,Tangerang,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,30
Februari,2025,PT.ACIMA GLOBAL MANDIRI,Tangerang,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Maret,2025,MAGIC,Bali,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2025,VAPEBRAND,Bali,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2025,BED,Bandung,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Maret,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,800
Maret,2025,VAPEXPRESS,Bogor,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2025,BLACKJACK,Bogor,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2025,SEGITIGA MAS,Bogor,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2025,SARANG VAPERS,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2025,PREVA/TOKO VAPEKU,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,20
Maret,2025,VAPORIZER JAKARTA,Jakarta,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Maret,2025,MILDOS JAKARTA,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2025,RAYS,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Maret,2025,VAPESTROE JAMBI,Jambi,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,30
Maret,2025,MILDOS LAMPUNG,Lampung,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2025,LOMBOK VAPE,Lombok,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Maret,2025,Vapor Mania,Medan,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2025,PKU VAPOR,Pekanbaru,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2025,DP88,Pontianak,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Maret,2025,S3VAPE,Salatiga,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Maret,2025,VAPE ON,Surabaya,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,1000
April,2025,VAPEX,Bali,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2025,VAPEBRAND,Bali,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,1000
April,2025,NV DISTRI,Bekasi,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2025,BLACKJACK,Bogor,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
April,2025,SEGITIGA MAS,Bogor,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2025,DALANG VAPOR,Depok,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2025,PREVA/TOKO VAPEKU,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,20
April,2025,GAS DISTRI,Jakarta,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,90
April,2025,VAPORIZER JAKARTA,Jakarta,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
April,2025,MILDOS JAKARTA,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2025,VAPEHAN,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
April,2025,RAYS,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
April,2025,MILDOS LAMPUNG,Lampung,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2025,OVS MAKASSAR,Makasar,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2025,OVS MANADO,Manado,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2025,Vapor Mania,Medan,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
April,2025,DP88,Pontianak,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
April,2025,S3VAPE,Salatiga,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2025,EJ33 SAMARINDA,Samarinda,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2025,ANGKASA VAPOR,Sampit,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
April,2025,VAPEBOSS SBY,Surabaya,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Mei,2025,MAGIC,Bali,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Mei,2025,VAPEBRAND,Bali,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Mei,2025,BED,Bandung,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Mei,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,950
Mei,2025,SEGITIGA MAS,Bogor,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Mei,2025,SENTRAL,Cimahi,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Mei,2025,PREVA/TOKO VAPEKU,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,20
Mei,2025,VAPORIZER JAKARTA,Jakarta,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,250
Mei,2025,PING DISTRI,Karawang,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Mei,2025,LOMBOK VAPE,Lombok,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Mei,2025,UNICRON VAPE,Makasar,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Mei,2025,PKU ,Pekanbaru,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Mei,2025,DP88,Pontianak,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Mei,2025,S3VAPE,Salatiga,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Mei,2025,ANGKASA VAPOR,Sampit,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Juni,2025,MAGIC,Bali,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juni,2025,VAPEX,Bali,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juni,2025,VAPEBRAND,Bali,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juni,2025,BED,Bandung,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juni,2025,BLACKJACK,Bogor,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Juni,2025,SEGITIGA MAS,Bogor,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Juni,2025,SENTRAL,Cimahi,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Juni,2025,DALANG VAPOR,Depok,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,30
Juni,2025,SARANG VAPERS,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,30
Juni,2025,MILDOS LAMPUNG,Lampung,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juni,2025,LOMBOK VAPE,Lombok,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juni,2025,OVS MAKASSAR,Makasar,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Juni,2025,DP88,Pontianak,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juni,2025,VAPE ON,Surabaya,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,500
Juli,2025,MAGIC,Bali,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,20
Juli,2025,VAPEBRAND,Bali,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juli,2025,BED,Bandung,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juli,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,600
Juli,2025,SEGITIGA MAS,Bogor,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juli,2025,SARANG VAPERS,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,200
Juli,2025,PREVA/TOKO VAPEKU,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juli,2025,INDO VAPING,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,20
Juli,2025,VAPORIZER JAKARTA,Jakarta,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Juli,2025,MILDOS LAMPUNG,Lampung,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juli,2025,Vapor Mania,Medan,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juli,2025,PKU ,Pekanbaru,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,30
Juli,2025,S3VAPE,Salatiga,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juli,2025,VSP,Semarang,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,300
Juli,2025,STEVE DISTRI,Surabaya,,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Juli,2025,VAPEBOSS SBY,Surabaya,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Juli,2025,VAPE ON,Surabaya,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,500
Juli,2025,VB DISTRI,Tangerang,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Juli,2025,PT.ACIMA GLOBAL MANDIRI,Tangerang,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Agustus,2025,JESMAR BALI,Bali,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,30
Agustus,2025,VAPEX,Bali,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,25
Agustus,2025,VAPEBRAND,Bali,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Agustus,2025,BED,Bandung,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Agustus,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,550
Agustus,2025,SEGITIGA MAS,Bogor,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Agustus,2025,SENTRAL,Cimahi,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
Agustus,2025,PREVA/TOKO VAPEKU,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,10
Agustus,2025,RAYS,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
Agustus,2025,PING DISTRI,Karawang,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
Agustus,2025,Vapor Mania,Medan,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,100
Agustus,2025,PKU ,Pekanbaru,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,30
Agustus,2025,DP88,Pontianak,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
September,2025,BED,Bandung,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,75
September,2025,FVS,Bandung,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,400
September,2025,BLACKJACK,Bogor,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
September,2025,SEGITIGA MAS,Bogor,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
September,2025,SARANG VAPERS,Jakarta,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
September,2025,VAPORIZER JAKARTA,Jakarta,FVS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
September,2025,PING DISTRI,Karawang,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
September,2025,OVS MAKASSAR,Makasar,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,50
September,2025,Vapor Mania,Medan,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,150
September,2025,PKU ,Pekanbaru,RAYS,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,80
September,2025,S3VAPE,Salatiga,PODA,PEANUT BUTTER V2 PODS FRIENDLY,ORAMA,PODS FRIENDLY,30ML,25
